match_id,home_team,away_team
3356953,Notts Forest,Leicester
3356950,Liverpool,Arsenal
3356958,Aston Villa,Tottenham
3356961,Chelsea,Man Utd
3356963,Everton,Southampton
3356966,West Ham,Notts Forest
3356964,Leicester,Ipswich
3356959,Brentford,Fulham
3356957,Arsenal,Newcastle
3356960,Brighton,Liverpool
3356965,Man City,Bournemouth
3356962,Crystal Palace,Wolves
3356976,Wolves,Brentford
3356968,Fulham,Man City
3356970,Liverpool,Crystal Palace
3356972,Newcastle,Everton
3356975,Tottenham,Brighton
3356971,Man Utd,Aston Villa
3356973,Notts Forest,Chelsea
3356969,Ipswich,West Ham
3356974,Southampton,Arsenal
3356967,Bournemouth,Leicester
