Unnamed: 0,NAME,TEAM,POS,NAT,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,FOULS,FOULED,TACKLES ATT/WON,AERIALS ATT/WON,DUELS ATT/WON,CLEAR,ERR CHANCE,ERR GOAL,POSS LOST,OFFSIDE,TOUCHES,INTERCEP,RECOV,LAST MAN TACKLE,PASSES,PASS COMP %,FINAL THIRD,LONG BALL,PEN,SHOTS,ON TARGET,BLOCKED,DRIBBLES,TOUCHES IN BOX,BIG CHANCE,CROSSES,SAVES,GOALS CON,PEN CON,PEN SAVE,DECISIVE,FIRST,EQUALISER,PEN WON,RATING,MATCH_ID
,Y. Ayari,Brighton,M,,Sweden,33,-,-,-,-,1,1,2/2,1/0,8/3,-,-,-,6,-,22,1,4,-,10,80%,6,-,-,1,-,1,-,2,-,1,-,-,-,-,-,-,-,-,6.3,3356650
,J. Enciso,Brighton,F,,Paraguay,19,-,-,-,-,-,3,0/0,0/0,6/4,-,-,-,3,-,18,-,2,-,10,90%,5,-,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,6.2,3356650
,Y. Minteh,Brighton,F,,Gambia,19,-,-,-,-,-,-,0/0,0/0,4/1,-,-,-,6,-,14,-,-,-,4,75%,3,-,-,1,-,1,1,1,-,2,-,-,-,-,-,-,-,-,5.8,3356650
,Igor,Brighton,D,,Brazil,33,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356650
,E. Ferguson,Brighton,F,,Republic of Ireland,9,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,1,-,4,-,1,-,4,75%,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356650
,J. Pickford,Everton,GK,,England,90,-,-,1,-,-,-,0/0,0/0,0/0,1,-,-,14,-,51,-,13,-,38,63%,14,28,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,6.7,3356651
,A. Young,Everton,DR,,England,90,-,1,-,-,2,1,0/0,1/1,6/3,1,-,-,26,-,77,2,3,-,51,61%,23,12,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,6.6,3356651
,J. Tarkowski,Everton,DCR,,England,90,-,-,-,-,2,1,2/0,12/9,18/12,9,-,-,8,-,56,2,3,-,36,78%,7,2,-,1,-,1,-,4,-,-,-,-,-,-,-,-,-,-,6.9,3356651
,J. Branthwaite,Everton,DCL,,England,90,-,-,-,-,-,1,2/2,6/3,10/7,5,-,-,5,-,46,3,5,-,32,84%,4,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,7.0,3356651
,V. Mykolenko,Everton,DL,,Ukraine,90,-,-,-,-,2,-,1/0,7/3,11/4,4,-,-,9,-,40,-,1,-,27,81%,13,4,-,1,-,-,-,1,-,3,-,-,-,-,-,-,-,-,6.0,3356651
,A. Doucouré,Everton,DMCR,,Mali,90,-,-,-,-,3,1,2/1,5/4,12/7,-,-,-,11,-,46,-,5,-,36,78%,13,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,6.5,3356651
,O. Mangala,Everton,DMCL,,Belgium,83,-,-,-,-,1,2,4/2,2/1,13/9,-,-,-,7,-,52,5,7,-,33,88%,7,4,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,7.1,3356651
,J. Lindstrøm,Everton,AMR,,Denmark,45,-,-,-,-,-,-,2/0,0/0,6/2,-,-,-,10,-,24,-,1,-,9,67%,3,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,5.9,3356651
,D. McNeil,Everton,AMC,,England,83,2,-,-,-,1,-,1/0,1/0,9/2,-,-,-,20,-,48,-,2,-,26,73%,11,3,-,3,2,-,1,3,-,6,-,-,-,-,1,-,1,-,8.3,3356651
,I. Ndiaye,Everton,AML,,Senegal,90,-,-,-,-,-,2,0/0,0/0,11/5,-,-,-,10,-,53,3,13,-,33,91%,14,1,-,-,-,-,3,2,-,2,-,-,-,-,-,-,-,-,6.8,3356651
,D. C-Lewin,Everton,S,,England,90,-,-,1,-,1,-,0/0,14/7,19/7,1,-,-,16,2,31,1,2,-,14,36%,12,1,-,2,-,-,-,6,-,-,-,-,-,-,-,-,-,-,5.7,3356651
,J. Harrison,Everton,M,,England,45,-,-,-,-,-,1,0/0,0/0,6/1,1,-,-,11,-,22,-,1,-,9,78%,4,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,5.9,3356651
,I. Guèye,Everton,M,,Senegal,7,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,4,-,1,-,3,100%,3,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,3356651
,J. Garner,Everton,M,,England,7,-,-,-,-,1,-,0/0,0/0,0/0,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,,3356651
,D. Henderson,Crystal Palace,GK,,England,90,-,-,-,-,-,-,0/0,1/1,0/1,2,-,-,3,-,25,-,8,-,15,80%,1,3,-,1,-,-,-,1,-,-,-,2,-,-,-,-,-,-,6.0,3356651
,M. Lacroix,Crystal Palace,DR,,France,90,-,1,-,-,-,1,3/2,5/2,11/7,5,-,-,20,-,88,3,5,1,70,76%,15,12,-,1,-,-,1,2,1,1,-,-,-,-,-,-,-,-,8.2,3356651
,M. Guéhi,Crystal Palace,DC,,England,90,1,-,-,-,-,1,2/1,11/6,15/10,10,-,-,7,-,104,1,6,-,84,92%,10,11,-,1,1,-,1,1,-,-,-,-,-,-,-,1,-,-,8.2,3356651
,J. Lerma,Crystal Palace,DL,,Colombia,90,-,-,-,-,-,1,2/2,8/4,13/7,3,-,-,18,-,89,1,8,-,74,80%,15,10,-,1,-,1,-,1,-,1,-,-,-,-,-,-,-,-,6.7,3356651
,D. Muñoz,Crystal Palace,MR,,Colombia,90,-,-,-,-,1,1,1/1,6/4,11/7,3,-,-,13,-,73,-,4,-,53,81%,18,3,-,2,2,-,1,9,-,1,-,-,-,-,-,-,-,-,7.2,3356651
,A. Wharton,Crystal Palace,MCR,,England,89,-,-,-,-,-,1,2/1,2/1,9/5,2,-,-,14,-,87,1,7,-,69,87%,23,6,-,2,1,1,1,1,-,5,-,-,-,-,-,-,-,-,6.7,3356651
,D. Kamada,Crystal Palace,MCL,,Japan,62,-,-,-,-,3,-,4/2,0/0,8/4,-,-,-,6,-,48,1,2,-,41,88%,12,5,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,6.3,3356651
,T. Mitchell,Crystal Palace,ML,,England,90,-,-,-,-,1,1,9/8,0/0,11/10,1,-,-,20,-,71,-,4,-,40,75%,9,6,-,-,-,-,-,2,-,3,-,-,-,-,-,-,-,-,6.9,3356651
,E. Nketiah,Crystal Palace,AMR,,England,73,-,-,-,-,3,3,0/0,3/0,13/4,-,-,-,11,-,33,-,1,-,20,70%,5,-,-,2,-,2,1,4,-,1,-,-,-,-,-,-,-,-,5.8,3356651
,Eberechi Eze,Crystal Palace,AML,,England,90,-,-,-,-,-,3,2/0,6/0,16/5,-,-,-,16,-,61,1,9,-,38,82%,13,3,-,5,1,3,-,1,-,2,-,-,-,-,-,-,-,-,6.0,3356651
,J. Mateta,Crystal Palace,S,,France,90,-,-,-,-,3,1,0/0,5/2,10/3,-,-,-,10,-,25,-,2,-,17,53%,7,2,-,1,-,-,-,5,-,1,-,-,-,-,-,-,-,-,5.5,3356651
,J. Schlupp,Crystal Palace,M,,Ghana,17,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,2,-,8,-,-,-,5,100%,2,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,5.9,3356651
,I. Sarr,Crystal Palace,F,,Senegal,28,-,-,-,-,-,-,0/0,1/0,0/0,-,-,-,6,-,11,-,-,-,7,71%,4,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5.4,3356651
,W. Hughes,Crystal Palace,M,,England,1,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,5,-,6,-,1,-,2,50%,1,1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,,3356651
,B. Leno,Fulham,GK,,Germany,90,-,-,1,-,-,-,0/0,0/0,0/0,1,-,-,4,-,40,-,6,-,34,88%,5,7,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,6.6,3356655
,K. Tete,Fulham,DR,,Netherlands,90,-,-,1,-,4,-,0/0,3/0,11/2,8,-,-,16,-,79,2,1,-,48,79%,13,1,-,1,-,1,2,7,-,3,-,-,-,-,-,-,-,-,6.9,3356655
,J. Andersen,Fulham,DCR,,Denmark,90,-,-,-,-,1,1,1/0,7/2,10/4,11,-,-,10,-,104,1,-,-,86,88%,14,14,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,7.4,3356655
,C. Bassey,Fulham,DCL,,Nigeria,90,-,-,-,-,3,-,1/0,2/1,6/2,4,-,-,7,-,75,-,4,-,62,94%,8,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.6,3356655
,A. Robinson,Fulham,DL,,United States,90,-,-,-,-,-,-,2/1,0/0,0/3,2,-,-,11,-,66,2,3,-,46,91%,17,3,-,2,-,1,1,1,-,2,-,-,-,-,-,-,-,-,6.9,3356655
,A. Pereira,Fulham,DMCR,,Brazil,69,-,-,-,-,1,1,0/0,1/0,4/2,-,-,-,7,-,35,1,1,-,25,84%,9,1,-,1,-,1,1,1,-,6,-,-,-,-,-,-,-,1,6.3,3356655
,S. Lukić,Fulham,DMCL,,Serbia,83,-,-,1,-,2,2,0/0,1/1,6/3,1,-,-,7,-,52,2,2,-,46,87%,13,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.6,3356655
,Adama Traoré,Fulham,AMR,,Spain,69,-,-,-,-,1,4,0/0,1/0,12/8,-,1,-,11,-,46,-,4,-,24,96%,6,1,-,1,-,1,4,2,-,7,-,-,-,-,-,-,-,-,6.4,3356655
,E. Smith Rowe,Fulham,AMC,,England,88,-,-,-,-,-,-,1/0,1/1,4/2,1,-,-,7,-,60,-,3,-,51,92%,22,1,-,2,-,1,-,2,-,-,-,-,-,-,-,-,-,-,6.3,3356655
,A. Iwobi,Fulham,AML,,Nigeria,90,-,-,-,-,1,-,0/0,0/0,2/1,6,-,-,16,-,71,-,4,-,56,80%,35,3,-,1,-,1,1,3,-,3,-,-,-,-,-,-,-,-,7.0,3356655
,R. Jiménez,Fulham,S,,Mexico,83,1,-,-,-,1,1,0/0,3/0,7/1,2,-,-,2,-,24,-,-,-,17,94%,9,-,1,3,2,-,-,5,-,-,-,-,-,-,1,1,-,-,6.8,3356655
,S. Berge,Fulham,M,,Norway,21,-,-,-,-,-,-,1/0,2/1,3/2,-,-,-,5,-,18,-,2,-,15,73%,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.9,3356655
,R. Nelson,Fulham,F,,England,21,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,6,-,16,-,3,-,10,80%,1,-,-,1,-,1,-,2,-,1,-,-,-,-,-,-,-,-,5.9,3356655
,H. Reed,Fulham,M,,England,7,-,-,1,-,1,1,1/1,1/0,4/2,1,-,-,3,-,10,1,-,-,3,33%,3,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,3356655
,I. Diop,Fulham,D,,France,2,-,-,-,-,-,-,0/0,0/0,0/0,3,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356655
,Rodrigo Muniz,Fulham,F,,Brazil,7,-,-,-,-,-,1,0/0,3/1,5/2,-,-,-,2,1,7,-,1,-,4,75%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356655
,M. Sels,Notts Forest,GK,,Belgium,90,-,-,-,-,-,-,0/0,1/1,0/1,2,-,-,11,-,24,-,2,-,19,47%,6,12,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,6.3,3356655
,O. Aina,Notts Forest,DR,,Nigeria,90,-,-,-,-,-,1,2/1,1/0,9/4,2,-,-,21,-,70,-,9,-,43,77%,16,3,-,-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,6.4,3356655
,N. Milenković,Notts Forest,DCR,,Serbia,90,-,-,-,-,-,-,0/0,7/6,7/6,4,-,-,4,1,49,1,2,-,38,95%,2,2,-,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,6.7,3356655
,Murillo,Notts Forest,DCL,,Brazil,90,-,-,1,-,2,-,0/0,0/0,5/2,6,-,-,11,-,58,1,1,-,43,81%,16,7,-,-,-,-,2,-,-,1,-,-,1,-,-,-,-,-,5.8,3356655
,Moreno,Notts Forest,DL,,Spain,84,-,-,-,-,2,1,0/0,0/0,8/1,-,-,-,15,-,39,1,1,-,22,64%,9,3,-,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,5.7,3356655
,E. Anderson,Notts Forest,MR,,England,57,-,-,-,-,1,2,1/1,0/0,4/3,1,-,-,6,-,28,-,2,-,17,76%,14,3,-,1,-,1,-,3,-,1,-,-,-,-,-,-,-,-,6.1,3356655
,J. Ward-Prowse,Notts Forest,MCR,,England,75,-,-,-,-,1,-,0/0,0/0,0/0,-,-,-,6,-,42,1,4,-,28,93%,9,2,-,1,-,1,-,-,-,7,-,-,-,-,-,-,-,-,6.1,3356655
,R. Yates,Notts Forest,MCL,,England,90,-,-,1,-,1,5,3/0,3/2,13/10,2,-,-,11,-,72,2,6,-,55,85%,16,1,-,1,-,1,-,6,-,-,-,-,-,-,-,-,-,-,6.4,3356655
,N. Domínguez,Notts Forest,ML,,Argentina,57,-,-,-,-,-,-,1/1,2/2,0/3,-,-,-,8,-,31,1,1,-,25,72%,7,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6.1,3356655
,T. Awoniyi,Notts Forest,FCR,,Nigeria,45,-,-,-,-,2,2,0/0,3/2,8/4,1,-,-,9,-,20,-,-,-,10,60%,6,-,-,1,-,-,-,5,-,1,-,-,-,-,-,-,-,-,5.8,3356655
,C. Wood,Notts Forest,FCL,,New Zealand,90,-,-,-,-,1,1,0/0,4/2,8/3,2,-,-,2,4,15,-,1,-,9,89%,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.1,3356655
,Jota Silva,Notts Forest,F,,Portugal,33,-,-,-,-,1,2,0/0,4/3,7/5,1,-,-,6,-,17,1,-,-,7,71%,3,-,-,2,1,-,-,4,-,1,-,-,-,-,-,-,-,-,6.4,3356655
,C. Hudson-Odoi,Notts Forest,F,,England,33,-,-,-,-,-,-,0/0,0/0,0/1,-,-,-,8,1,21,1,1,-,8,88%,4,1,-,1,-,-,1,3,-,7,-,-,-,-,-,-,-,-,6.1,3356655
,A. Elanga,Notts Forest,F,,Sweden,45,-,-,-,-,-,1,0/0,0/0,2/1,-,-,-,5,1,15,-,-,-,10,80%,5,1,-,1,-,1,-,6,-,1,-,-,-,-,-,-,-,-,5.7,3356655
,N. Williams,Notts Forest,D,,Wales,6,-,-,-,-,-,-,0/0,0/0,0/0,1,-,-,3,-,11,-,2,-,7,86%,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,,3356655
,R. Sosa,Notts Forest,F,,Paraguay,15,-,-,-,-,-,-,1/0,0/0,0/1,-,-,-,5,-,12,-,3,-,10,70%,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,3356655
,A. Aréola,West Ham,GK,,France,90,-,-,-,-,-,-,0/0,0/0,0/0,2,-,-,11,-,41,-,6,-,32,69%,3,25,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,6.3,3356649
,A. W-Bissaka,West Ham,DR,,DR Congo,90,-,-,-,-,2,1,2/0,3/0,11/4,2,-,-,12,-,57,-,8,-,37,86%,16,2,-,1,-,1,1,3,-,1,-,-,-,-,-,-,-,-,6.3,3356649
,J. Todibo,West Ham,DCR,,France,90,-,-,-,-,-,-,3/2,5/3,10/6,5,-,-,10,-,65,-,9,-,48,85%,9,8,-,2,-,-,-,2,-,1,-,-,-,-,-,-,-,-,6.8,3356649
,M. Kilman,West Ham,DCL,,England,90,-,-,1,-,1,-,1/0,1/1,3/2,5,-,-,5,-,48,2,6,-,39,87%,12,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.8,3356649
,Emerson,West Ham,DL,,Italy,45,-,-,1,-,1,-,0/0,0/0,0/0,-,-,-,6,-,36,1,3,-,23,83%,11,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5.8,3356649
,G. Rodríguez,West Ham,DMC,,Argentina,90,-,-,-,-,1,-,4/1,3/3,10/7,7,-,-,6,-,58,-,1,-,43,88%,15,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.6,3356649
,J. Bowen,West Ham,AMR,,England,90,-,-,-,-,-,-,1/0,2/0,14/5,3,-,-,21,-,56,-,8,-,25,64%,16,2,-,3,-,2,4,10,-,5,-,-,-,-,-,-,-,-,6.3,3356649
,T. Souček,West Ham,AMCR,,Czechia,90,1,-,-,-,1,-,3/2,8/4,12/7,5,-,-,10,-,47,2,3,-,29,76%,12,3,-,1,1,-,-,8,-,1,-,-,-,-,1,-,1,-,7.8,3356649
,Lucas Paquetá,West Ham,AMCL,,Brazil,76,-,-,-,-,1,-,1/1,0/0,7/2,2,1,-,16,-,60,1,3,-,41,80%,22,3,-,1,-,-,1,1,-,3,-,-,-,-,-,-,-,-,6.0,3356649
,K. Mohammed,West Ham,AML,,Ghana,45,-,-,-,-,-,-,0/0,0/0,7/1,-,-,-,11,1,32,-,3,-,19,79%,12,1,-,3,1,1,1,8,-,-,-,-,-,-,-,-,-,-,6.2,3356649
,M. Antonio,West Ham,S,,Jamaica,75,-,1,-,-,2,-,0/0,8/3,10/3,-,-,-,9,-,29,-,1,-,18,83%,9,2,-,3,-,1,-,2,1,2,-,-,-,-,-,-,-,-,6.5,3356649
,K. Mavropanos,West Ham,D,,Greece,45,-,-,-,-,1,-,0/0,1/1,5/3,5,-,-,13,1,41,4,3,-,17,59%,3,2,-,1,-,-,2,2,-,1,-,-,-,-,-,-,-,-,6.8,3356649
,Carlos Soler,West Ham,M,,Spain,45,-,-,-,-,-,1,1/1,0/0,4/3,1,-,-,2,-,23,-,1,-,15,93%,4,3,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,6.3,3356649
,D. Ings,West Ham,F,,England,15,-,-,-,-,-,-,0/0,2/2,0/2,-,-,-,5,-,7,-,-,-,6,33%,4,2,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,,3356649
,C. Summerville,West Ham,M,,Netherlands,14,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356649
,M. Flekken,Brentford,GK,,Netherlands,90,-,-,-,-,-,-,0/0,1/1,0/1,1,-,-,13,-,55,-,9,-,48,73%,8,20,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,6.3,3356649
,S. van den Berg,Brentford,DR,,Netherlands,90,-,-,-,-,1,2,2/1,5/3,10/7,3,-,-,14,-,68,-,3,-,52,75%,16,4,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,6.4,3356649
,N. Collins,Brentford,DCR,,Republic of Ireland,90,-,-,-,-,-,-,1/1,3/0,5/1,2,-,-,9,-,82,1,3,-,76,88%,11,9,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6.4,3356649
,E. Pinnock,Brentford,DCL,,Jamaica,90,-,-,-,-,-,1,2/0,8/5,10/7,4,-,-,9,-,88,1,2,-,77,91%,14,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.6,3356649
,K. Ajer,Brentford,DL,,Norway,90,-,-,-,-,-,1,1/1,3/2,8/4,2,-,-,16,-,68,2,2,-,47,70%,9,3,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,6.4,3356649
,K. Schade,Brentford,MR,,Germany,60,-,-,-,-,-,2,1/1,1/1,6/4,1,-,-,14,1,25,-,3,-,12,50%,7,-,-,-,-,-,-,2,-,5,-,-,-,-,-,-,-,-,5.8,3356649
,M. Damsgaard,Brentford,MCR,,Denmark,90,-,-,-,-,-,-,8/5,2/1,12/9,1,-,-,21,-,78,1,5,-,53,74%,26,5,-,-,-,-,-,1,1,4,-,-,-,-,-,-,-,-,7.1,3356649
,V. Janelt,Brentford,MCL,,Germany,90,-,-,-,-,-,-,1/1,5/2,9/3,4,-,-,9,-,58,1,3,-,39,90%,11,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6.4,3356649
,K. Lewis-Potter,Brentford,ML,,England,90,-,-,1,-,-,-,2/1,1/1,10/5,1,-,-,15,-,48,1,4,-,27,78%,13,1,-,1,1,-,2,3,-,3,-,-,-,-,-,-,-,-,6.4,3356649
,Fabio Carvalho,Brentford,FCR,,Portugal,85,-,1,-,-,-,-,4/3,1/1,9/5,1,-,-,16,-,50,1,2,-,26,85%,13,2,-,1,-,1,-,4,-,5,-,-,-,-,-,-,-,-,7.0,3356649
,B. Mbeumo,Brentford,FCL,,Cameroon,90,1,-,-,-,-,2,3/1,4/1,13/7,-,-,-,20,-,65,1,5,-,40,75%,25,3,-,4,1,2,1,8,-,7,-,-,-,-,-,1,-,-,7.5,3356649
,Y. Yarmoliuk,Brentford,M,,Ukraine,30,-,-,1,-,1,-,0/0,0/0,0/0,-,-,-,7,-,37,1,3,-,27,96%,7,-,-,1,1,-,-,-,-,3,-,-,-,-,-,-,-,-,6.4,3356649
,Y. Konak,Brentford,M,,Türkiye,5,-,-,-,-,-,-,0/0,1/0,0/0,-,-,-,4,-,7,-,-,-,4,50%,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356649
,S. Johnstone,Wolves,GK,,England,90,-,-,-,-,-,-,0/0,2/2,0/2,3,-,-,8,-,51,-,11,-,34,76%,4,13,-,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,6.7,3356656
,Nélson Semedo,Wolves,DR,,Portugal,90,-,-,-,-,3,2,2/1,2/0,12/6,3,-,-,9,-,58,-,3,-,36,83%,4,5,-,1,-,1,2,-,-,2,-,-,1,-,-,-,-,-,5.3,3356656
,S. Bueno,Wolves,DCR,,Uruguay,77,-,-,-,-,1,-,3/2,3/2,8/5,5,-,-,3,-,60,1,1,-,48,96%,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.4,3356656
,Toti Gomes,Wolves,DCL,,Portugal,90,-,-,-,-,-,-,1/1,1/0,2/1,4,-,-,3,-,60,-,3,-,54,94%,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.1,3356656
,R. Aït-Nouri,Wolves,DL,,Algeria,90,1,-,-,-,-,2,1/0,1/1,6/4,3,-,-,8,-,65,2,7,-,41,90%,14,-,-,1,1,-,-,1,-,2,-,-,-,-,-,-,1,-,7.3,3356656
,André,Wolves,DMC,,Brazil,90,-,-,1,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356656
,Matheus Cunha,Wolves,AMR,,Brazil,90,-,-,-,-,1,1,2/2,0/0,6/4,1,-,-,20,-,47,-,3,-,24,71%,16,2,-,2,1,-,1,4,-,3,-,-,-,-,-,-,-,-,6.1,3356656
,M. Lemina,Wolves,AMCR,,Gabon,90,-,-,-,-,2,1,2/2,4/3,12/8,3,1,-,17,1,74,3,4,-,54,78%,6,6,-,1,-,-,2,1,-,3,-,-,-,-,-,-,-,-,6.7,3356656
,João Gomes,Wolves,AMCL,,Brazil,90,-,-,-,-,5,-,1/1,1/0,8/1,-,-,-,12,-,48,2,9,-,41,76%,14,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6.0,3356656
,J. Bellegarde,Wolves,AML,,Haiti,52,-,-,-,-,-,1,1/1,3/1,7/3,-,-,-,9,-,32,-,1,-,22,77%,12,-,-,1,1,-,-,4,-,2,-,-,-,-,-,-,-,-,6.2,3356656
,J. Strand Larsen,Wolves,S,,Norway,68,-,-,-,-,2,-,0/0,3/1,6/1,-,-,-,6,-,20,-,-,-,17,71%,4,1,-,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,5.6,3356656
,Carlos Forbs,Wolves,F,,Portugal,38,-,-,1,-,1,-,0/0,0/0,3/1,-,-,-,8,-,15,-,-,-,8,63%,4,-,-,1,-,1,1,3,-,2,-,-,-,-,-,-,-,-,5.7,3356656
,Hwang Heechan,Wolves,F,,Korea Republic,22,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,4,-,1,-,3,100%,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5.5,3356656
,T. Doyle,Wolves,M,,England,13,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,3,-,12,-,1,-,10,80%,5,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,3356656
,Alisson,Liverpool,GK,,Brazil,90,-,-,-,-,-,-,0/0,0/0,0/0,1,-,-,5,-,37,-,6,-,29,83%,3,6,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,6.3,3356656
,T. A-Arnold,Liverpool,DR,,England,90,-,-,1,-,1,-,2/2,1/1,7/3,-,-,-,23,-,76,1,7,-,54,72%,15,10,-,2,1,-,-,2,-,5,-,-,-,-,-,-,-,-,6.5,3356656
,I. Konaté,Liverpool,DCR,,France,90,1,-,1,-,1,1,0/0,6/4,8/5,1,-,1,8,-,76,2,2,-,67,88%,7,4,-,2,1,-,-,2,-,-,-,-,-,-,-,1,-,-,6.6,3356656
,V. van Dijk,Liverpool,DCL,,Netherlands,90,-,-,-,-,-,-,0/0,3/1,3/1,5,-,-,7,-,93,1,3,-,85,93%,10,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.7,3356656
,A. Robertson,Liverpool,DL,,Scotland,89,-,-,-,-,-,1,0/0,0/0,3/1,-,-,-,15,-,85,1,6,-,64,89%,21,4,-,-,-,-,-,4,1,9,-,-,-,-,-,-,-,-,7.2,3356656
,R. Gravenberch,Liverpool,DMCR,,Netherlands,90,-,-,-,-,-,4,3/3,1/1,0/8,-,-,-,5,-,73,-,5,-,62,92%,19,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,7.2,3356656
,A. Mac Allister,Liverpool,DMCL,,Argentina,90,-,-,-,-,1,1,2/1,3/0,11/3,-,-,-,9,-,60,1,7,-,47,85%,12,2,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,6.3,3356656
,M. Salah,Liverpool,AMR,,Egypt,90,1,-,-,-,1,1,2/2,0/0,10/5,1,-,-,15,-,45,-,5,-,27,70%,13,1,1,3,2,-,2,13,-,2,-,-,-,-,1,-,-,-,7.4,3356656
,D. Szoboszlai,Liverpool,AMC,,Hungary,73,-,-,-,-,1,2,0/0,0/0,4/2,1,-,-,6,-,37,-,2,-,31,84%,6,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,6.1,3356656
,L. Díaz,Liverpool,AML,,Colombia,73,-,-,-,-,1,1,0/0,0/0,6/1,-,-,-,10,-,39,1,4,-,27,89%,15,1,-,1,-,1,-,7,-,1,-,-,-,-,-,-,-,-,6.2,3356656
,Diogo Jota,Liverpool,S,,Portugal,90,-,1,1,-,2,2,0/0,5/2,12/5,1,-,-,11,-,34,-,3,-,24,71%,10,-,-,-,-,-,1,2,-,1,-,-,-,-,-,-,-,1,6.1,3356656
