match_id,home_team,away_team,match_key
3356885,Newcastle,Crystal Palace,Newcastle-Crystal Palace
3356891,Wolves,West Ham,Wolves-West Ham
3356888,Arsenal,Fulham,Arsenal-Fulham
3356890,Notts Forest,Man Utd,Notts Forest-Man Utd
3356889,Brighton,Aston Villa,Brighton-Aston Villa
3356887,Bournemouth,Ipswich,Bournemouth-Ipswich
3356893,Man City,Leicester,Man City-Leicester
3356894,Newcastle,Brentford,Newcastle-Brentford
3356895,Southampton,Crystal Palace,Southampton-Crystal Palace
3356896,Liverpool,Everton,Liverpool-Everton
3356892,Chelsea,Tottenham,Chelsea-Tottenham
3356900,Everton,Arsenal,Everton-Arsenal
3356906,West Ham,Bournemouth,West Ham-Bournemouth
3356902,Ipswich,Wolves,Ipswich-Wolves
3356899,Crystal Palace,Brighton,Crystal Palace-Brighton
3356897,Aston Villa,Notts Forest,Aston Villa-Notts Forest
3356898,Brentford,Chelsea,Brentford-Chelsea
3356901,Fulham,Liverpool,Fulham-Liverpool
3356905,Tottenham,Southampton,Tottenham-Southampton
3356904,Man Utd,Man City,Man Utd-Man City
3356903,Leicester,Newcastle,Leicester-Newcastle
3356912,Man City,Crystal Palace,Man City-Crystal Palace
3356914,Notts Forest,Everton,Notts Forest-Everton
3356915,Southampton,Aston Villa,Southampton-Aston Villa
3356909,Brighton,Leicester,Brighton-Leicester
3356908,Arsenal,Brentford,Arsenal-Brentford
3356916,Wolves,Tottenham,Wolves-Tottenham
3356911,Liverpool,West Ham,Liverpool-West Ham
3356910,Chelsea,Ipswich,Chelsea-Ipswich
3356913,Newcastle,Man Utd,Newcastle-Man Utd
3356907,Bournemouth,Fulham,Bournemouth-Fulham
3356920,Everton,Man City,Everton-Man City
3356926,West Ham,Southampton,West Ham-Southampton
3356918,Brentford,Brighton,Brentford-Brighton
3356919,Crystal Palace,Bournemouth,Crystal Palace-Bournemouth
3356917,Aston Villa,Newcastle,Aston Villa-Newcastle
3356924,Man Utd,Wolves,Man Utd-Wolves
3356922,Ipswich,Arsenal,Ipswich-Arsenal
3356921,Fulham,Chelsea,Fulham-Chelsea
3356923,Leicester,Liverpool,Leicester-Liverpool
3356925,Tottenham,Notts Forest,Tottenham-Notts Forest
3356932,Man City,Aston Villa,Man City-Aston Villa
