Date,Home,Away,match_key
2025-05-16,Chelsea,Man Utd,Chelsea-Man Utd
2025-05-18,Everton,Southampton,Everton-Southampton
2025-05-18,West Ham,Notts Forest,West Ham-Notts Forest
2025-05-18,Brentford,Fulham,Brentford-Fulham
2025-05-18,Leicester,Ipswich,Leicester-Ipswich
2025-05-18,Arsenal,Newcastle,Arsenal-Newcastle
2025-05-19,Brighton,Liverpool,Brighton-Liverpool
2025-05-20,Man City,Bournemouth,Man City-Bournemouth
2025-05-20,Crystal Palace,Wolves,Crystal Palace-Wolves
2025-05-25,Man Utd,Aston Villa,Man Utd-Aston Villa
2025-05-25,Ipswich,West Ham,Ipswich-West Ham
2025-05-25,Wolves,Brentford,Wolves-Brentford
2025-05-25,Southampton,Arsenal,Southampton-Arsenal
2025-05-25,Liverpool,Crystal Palace,Liverpool-Crystal Palace
2025-05-25,Notts Forest,Chelsea,Notts Forest-Chelsea
2025-05-25,Fulham,Man City,Fulham-Man City
2025-05-25,Newcastle,Everton,Newcastle-Everton
2025-05-25,Bournemouth,Leicester,Bournemouth-Leicester
2025-05-25,Tottenham,Brighton,Tottenham-Brighton
