NAME;POS;NAT;COUNTRY;MINUTES_PLAYED;GOALS;ASSISTS;YELLOW_CARDS;RED_CARDS;FOULS;FOULED;TACKLES ATT/WON;AERIALS ATT/WON;DUELS ATT/WON;CLEAR;ERR CHANCE;ERR GOAL;POSS LOST;OFFSIDE;TOUCHES;INTERCEP;RECOV;LAST MAN TACKLE;PASSES;PASS COMP %;FINAL THIRD;LONG BALL;PEN;SHOTS;ON TARGET;BLOCKED;DRIBBLES;TOUCHES IN BOX;BIG CHANCE;CROSSES;SAVES;GOALS CON;PEN CON;PEN SAVE;DECISIVE;FIRST;EQUALISER;PEN WON;RATING
A. Robertson;DL;0.0;Scotland;65;0.0;0.0;0.0;0.0;0.0;0.0;1/0;1/0;2/1;3.0;0.0;0.0;11.0;0.0;52.0;0.0;0.0;0.0;33.0;85%;16.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.4
R. Gravenberch;DMCR;0.0;Netherlands;90;0.0;0.0;0.0;0.0;0.0;0.0;0/0;1/1;0/2;8.0;0.0;0.0;10.0;0.0;58.0;0.0;6.0;0.0;46.0;78%;13.0;2.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6
A. Mac Allister;DMCL;0.0;Argentina;90;0.0;0.0;0.0;0.0;4.0;1.0;4/3;2/1;11/6;1.0;0.0;0.0;10.0;0.0;79.0;0.0;2.0;0.0;66.0;86%;29.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6
M. Salah;AMR;0.0;Egypt;90;0.0;0.0;0.0;0.0;1.0;0.0;0/0;2/1;10/1;0.0;0.0;0.0;24.0;1.0;61.0;0.0;1.0;0.0;37.0;76%;24.0;1.0;0.0;6.0;2.0;1.0;0.0;12.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.4
D. Szoboszlai;AMC;0.0;Hungary;90;0.0;0.0;0.0;0.0;2.0;0.0;2/0;5/3;11/5;2.0;0.0;0.0;15.0;0.0;79.0;0.0;8.0;0.0;62.0;85%;29.0;3.0;0.0;3.0;1.0;2.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.9
C. Gakpo;AML;0.0;Netherlands;90;0.0;0.0;0.0;0.0;1.0;2.0;1/0;2/2;12/6;1.0;0.0;0.0;11.0;0.0;45.0;0.0;5.0;0.0;26.0;88%;18.0;0.0;0.0;3.0;1.0;0.0;1.0;8.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.1
L. Díaz;S;0.0;Colombia;75;0.0;0.0;1.0;0.0;1.0;2.0;0/0;0/0;6/2;0.0;0.0;0.0;11.0;0.0;45.0;0.0;3.0;0.0;32.0;88%;18.0;0.0;0.0;1.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.1
Diogo Jota;F;0.0;Portugal;24;1.0;0.0;0.0;0.0;0.0;0.0;0/0;4/2;9/4;1.0;0.0;0.0;7.0;0.0;24.0;1.0;1.0;0.0;10.0;80%;7.0;0.0;0.0;4.0;3.0;1.0;2.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;7.7
K. Tsimikas;D;0.0;Greece;25;0.0;1.0;0.0;0.0;0.0;0.0;0/0;0/0;0/0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C. Jones;M;0.0;England;15;0.0;0.0;0.0;0.0;0.0;1.0;0/0;1/0;2/1;0.0;0.0;0.0;2.0;0.0;24.0;0.0;3.0;0.0;21.0;90%;11.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
M. Sels;GK;0.0;Belgium;90;0.0;0.0;0.0;0.0;0.0;0.0;0/0;1/0;0/0;0.0;0.0;0.0;11.0;0.0;29.0;0.0;5.0;0.0;21.0;48%;7.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.2
O. Aina;DR;0.0;Nigeria;90;0.0;0.0;0.0;0.0;1.0;1.0;2/2;0/0;6/3;3.0;0.0;0.0;18.0;0.0;41.0;1.0;4.0;0.0;18.0;67%;3.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
N. Milenković;DCR;0.0;Serbia;90;0.0;0.0;0.0;0.0;1.0;0.0;2/1;3/3;6/5;12.0;0.0;0.0;8.0;0.0;33.0;0.0;0.0;0.0;15.0;47%;5.0;6.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.2
Murillo;DCL;0.0;Brazil;90;0.0;0.0;0.0;0.0;0.0;0.0;4/4;0/0;6/5;17.0;0.0;0.0;14.0;0.0;62.0;2.0;7.0;0.0;28.0;57%;10.0;16.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5
N. Williams;DL;0.0;Wales;90;0.0;0.0;0.0;0.0;0.0;1.0;2/1;2/0;8/3;9.0;0.0;0.0;9.0;0.0;48.0;3.0;1.0;0.0;12.0;75%;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.5
