Unnamed: 0;NAME;TEAM;POS;NAT;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;FOULS;FOULED;TACKLES ATT/WON;AERIALS ATT/WON;DUELS ATT/WON;CLEAR;ERR CHANCE;ERR GOAL;POSS LOST;OFFSIDE;TOUCHES;INTERCEP;RECOV;LAST MAN TACKLE;PASSES;PASS COMP %;FINAL THIRD;LONG BALL;PEN;SHOTS;ON TARGET;BLOCKED;DRIBBLES;TOUCHES IN BOX;BIG CHANCE;CROSSES;SAVES;GOALS CON;PEN CON;PEN SAVE;DECISIVE;FIRST;EQUALISER;PEN WON;RATING
;W. Burns;;AMR;;Wales;57;-;-;1;-;2;1;0/0;2/1;6/2;-;-;-;9;-;22;-;3;-;13;62%;5;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;5.1
;C. Chaplin;;AMC;;England;65;-;-;-;-;-;2;2/2;3/0;7/4;-;-;-;7;-;30;-;2;-;23;70%;7;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5.8
;O. Hutchinson;;AML;;England;90;-;-;1;-;1;4;0/0;3/0;13/7;-;-;-;12;-;33;-;6;-;18;56%;9;2;-;3;1;1;3;3;-;1;-;-;-;-;-;-;-;-;5.6
;L. Delap;;S;;England;74;-;-;-;-;1;1;0/0;3/1;7/2;2;-;-;10;-;21;-;3;-;12;50%;4;3;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;5.5
;S. Szmodics;;M;;Republic of Ireland;16;-;-;-;-;-;1;0/0;0/0;3/1;-;-;-;3;2;9;1;1;-;4;100%;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.0
;B. Johnson;;M;;England;33;-;-;-;-;-;-;4/2;2/1;8/5;1;-;-;4;-;21;1;1;-;9;78%;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.9
;J. Taylor;;M;;Republic of Ireland;25;-;-;-;-;1;-;0/0;0/0;0/0;2;-;-;4;-;23;-;1;-;19;79%;7;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5.8
;M. Harness;;M;;England;25;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;6;1;16;-;2;-;14;64%;9;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;5.7
;Ali Al Hamadi;;F;;Iraq;16;-;-;-;-;-;-;0/0;3/2;3/2;1;-;-;-;1;3;-;-;-;1;100%;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5.6
;N. Pope;;GK;;England;90;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;16;-;30;-;9;-;24;33%;6;22;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;6.9
;V. Livramento;;DR;;England;90;-;-;-;-;-;1;2/2;4/1;9/4;2;-;-;10;-;37;-;3;-;14;57%;6;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6.3
;F. Schär;;DCR;;Switzerland;27;-;-;-;1;2;-;0/0;0/0;0/0;1;-;-;2;-;13;-;-;-;11;82%;3;2;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;5.2
;D. Burn;;DCL;;England;90;-;-;1;-;3;-;0/0;3/1;6/1;10;-;-;6;-;30;-;4;-;18;72%;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.6
;L. Hall;;DL;;England;70;-;-;1;-;2;-;0/0;0/0;0/0;1;-;-;16;-;42;1;2;-;20;60%;1;2;-;-;-;-;-;1;-;5;-;-;-;-;-;-;-;-;5.9
;S. Longstaff;;MCR;;England;90;-;-;-;-;-;-;3/3;1/0;6/3;1;-;-;5;-;23;-;2;-;15;73%;6;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;6.4
;B. Guimaraes;;MC;;Brazil;90;-;-;-;-;2;6;6/4;0/0;17/12;2;-;-;13;-;54;1;4;-;25;72%;11;5;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;6.9
;Joelinton;;MCL;;Brazil;90;1;-;-;-;4;3;1/1;5/4;15/8;6;-;-;10;-;38;1;3;-;16;63%;9;1;-;2;1;1;-;3;-;-;-;-;-;-;1;1;-;-;7.7
;J. Murphy;;WR;;England;30;-;-;-;-;1;1;3/3;0/0;6/4;-;-;-;3;-;13;-;3;-;7;86%;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.0
;A. Isak;;S;;Sweden;90;-;1;-;-;-;1;1/1;0/0;3/2;3;-;-;5;1;22;1;2;-;10;80%;5;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;6.7
;A. Gordon;;WL;;England;70;-;-;-;-;-;4;0/0;1/0;7/5;-;-;-;9;-;27;-;3;-;14;71%;9;-;-;-;-;-;1;1;-;3;-;-;-;-;-;-;-;-;5.6
;E. Krafth;;D;;Sweden;60;-;-;-;-;-;-;0/0;2/1;3/1;6;-;-;2;-;14;-;2;-;3;67%;1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;6.2
;L. Kelly;;D;;England;20;-;-;-;-;-;-;0/0;0/0;0/0;2;-;-;1;-;5;-;-;-;2;50%;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.9
;H. Barnes;;M;;England;20;-;-;-;-;1;-;0/0;0/0;0/0;-;-;-;4;-;5;-;2;-;2;50%;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.5
;A. McCarthy;;GK;;England;90;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;
;T. Harwood-Bellis;;DR;;England;90;-;-;1;-;2;-;1/1;3/0;6/1;2;-;-;12;-;101;-;4;-;91;89%;21;5;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;6.8
;J. Bednarek;;DC;;Poland;81;-;-;-;-;-;1;0/0;3/2;4/3;3;-;-;5;-;87;1;5;-;82;94%;13;8;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7.0
;J. Stephens;;DL;;England;90;-;-;1;-;1;-;1/0;1/0;4/1;2;-;-;7;1;99;-;3;-;90;93%;26;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;7.0
;Y. Sugawara;;MR;;Japan;45;-;-;-;-;-;1;0/0;1/1;0/3;1;-;-;13;-;41;-;-;-;26;58%;8;2;-;-;-;-;1;1;1;3;-;-;-;-;-;-;-;-;6.2
;W. Smallbone;;MCR;;Republic of Ireland;90;-;-;-;-;3;-;2/2;1/0;7/3;-;-;-;20;-;76;-;3;-;48;90%;22;-;-;4;-;4;1;9;-;12;-;-;-;-;-;-;-;-;6.7
;F. Downes;;MC;;England;90;-;-;-;-;5;2;2/1;1/1;12/5;2;-;-;11;-;103;-;3;-;89;93%;28;2;-;1;-;1;-;2;-;1;-;-;-;-;-;-;-;-;7.0
;J. Aribo;;MCL;;Nigeria;70;-;-;-;-;-;2;2/1;1/1;7/6;2;-;-;8;-;50;1;2;-;37;89%;13;1;-;1;-;1;1;3;1;2;-;-;-;-;-;-;-;-;7.0
;K. W-Peters;;ML;;England;81;-;-;-;-;2;2;0/0;1/0;9/4;-;-;-;12;-;85;-;3;-;66;91%;22;1;-;2;-;1;2;2;-;4;-;-;-;-;-;-;-;-;6.8
;A. Armstrong;;FCR;;England;90;-;-;-;-;-;-;2/0;0/0;4/2;-;-;-;8;-;35;-;2;-;23;83%;12;1;-;5;2;2;-;6;-;1;-;-;-;-;-;-;-;-;6.1
;B. Brereton Díaz;;FCL;;Chile;70;-;-;1;-;-;1;1/1;3/3;7/5;1;-;-;8;1;33;-;5;-;25;80%;12;-;-;2;-;1;-;4;-;1;-;-;-;-;-;-;-;-;6.1
;S. Edozie;;F;;England;45;-;-;1;-;2;1;2/0;0/0;8/4;-;-;-;8;-;32;-;1;-;22;86%;20;-;-;-;-;-;1;8;-;1;-;-;-;-;-;-;-;-;6.3
;C. Archer;;F;;England;20;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;3;-;7;-;1;-;3;67%;1;-;-;2;1;-;-;3;-;1;-;-;-;-;-;-;-;-;6.0
;T. Dibling;;F;;England;20;-;-;-;-;-;3;0/0;0/0;4/3;-;-;-;3;-;20;-;-;-;13;100%;10;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5.9
;C. Alcaraz;;M;;Argentina;9;-;-;-;-;1;-;0/0;1/1;4/1;-;-;-;2;-;18;1;2;-;11;100%;10;1;-;1;1;-;-;2;-;1;-;-;-;-;-;-;-;-;
